Man City,England,148.000
Bayern,Germany,144.000
Real Madrid,Spain,136.000
PSG,France,116.000
Liverpool,England,114.000
Inter,Italy,101.000
Dortmund,Germany,97.000
RB Leipzig,Germany,97.000
Barcelona,Spain,91.000
Bayer Leverkusen,Germany,90.000
Atletico Madrid,Spain,89.000
Atalanta,Italy,81.000
Juventus,Italy,80.000
Benfica,Portugal,79.000
Arsenal,England,72.000
Club Brugge,Belgium,64.000
Shakhtar,Ukraine,61.000
Milan,Italy,59.000
Feyenoord,Netherlands,57.000
Sporting CP,Portugal,54.500
PSV,Netherlands,54.000
Dinamo Zagreb,Croatia,42.000
Lille,France,42.000
Salzburg,Austria,40.000
Young Boys,Switzerland,34.500
Crvena zvezda,Serbia,34.000
Celtic,Scotland,32.000
Slovan Bratislava,Slovenia,30.500
Monaco,France,24.000
Aston Villa,England,20.860
Sparta Praha,Czechia,20.500
Bologna,Italy,18.056
Girona,Spain,17.897
Stuttgart,Germany,17.324
Sturm Graz,Austria,14.500
Brest,France,13.366
